Date,USD/CAD Close,USD/CAD High,USD/CAD Low
2001-01-24,1.5129,1.5157,1.509
2001-01-25,1.5063,1.5166,1.5054
2001-01-26,1.5067,1.508,1.5012
2001-01-29,1.5017,1.5062,1.4999
2001-01-30,1.5036,1.5052,1.4971
2001-01-31,1.4977,1.5045,1.4965
2001-02-01,1.4939,1.4995,1.491
2001-02-02,1.493,1.4954,1.4901
2001-02-05,1.5062,1.5067,1.4961
2001-02-06,1.511,1.5119,1.5065
2001-02-07,1.5119,1.5151,1.5076
2001-02-08,1.5112,1.514,1.5076
2001-02-09,1.5101,1.5117,1.5065
2001-02-12,1.5218,1.522,1.5104
2001-02-13,1.5218,1.5267,1.5201
2001-02-14,1.5283,1.5295,1.5197
2001-02-15,1.5286,1.5302,1.5252
2001-02-16,1.5398,1.5398,1.5302
2001-02-19,1.534,1.543,1.534
2001-02-20,1.5408,1.541,1.533
2001-02-21,1.5368,1.5417,1.5342
2001-02-22,1.5377,1.5391,1.5343
2001-02-23,1.5377,1.5397,1.5353
2001-02-26,1.5286,1.5371,1.5283
2001-02-27,1.5289,1.5316,1.5247
2001-02-28,1.5359,1.5368,1.5263
2001-03-01,1.5481,1.5495,1.5364
2001-03-02,1.5447,1.5498,1.5414
2001-03-05,1.5427,1.5489,1.5413
2001-03-06,1.5399,1.5467,1.5369
2001-03-07,1.5497,1.5509,1.538
2001-03-08,1.546,1.5523,1.5456
2001-03-09,1.5448,1.5486,1.5448
2001-03-12,1.551,1.552,1.5455
2001-03-13,1.5432,1.5528,1.5418
2001-03-14,1.557,1.5592,1.542
2001-03-15,1.5609,1.5619,1.5557
2001-03-16,1.5661,1.5693,1.5585
2001-03-19,1.5674,1.572,1.5632
2001-03-20,1.5616,1.5667,1.5585
2001-03-21,1.5766,1.5768,1.5653
2001-03-22,1.5749,1.576,1.5687
2001-03-23,1.5653,1.5705,1.5643
2001-03-26,1.5567,1.5669,1.5532
2001-03-27,1.5689,1.5699,1.5555
2001-03-28,1.5645,1.5734,1.5638
2001-03-29,1.5735,1.5755,1.564
2001-03-30,1.5762,1.5794,1.5705
2001-04-02,1.5769,1.5797,1.5725
2001-04-03,1.5792,1.5826,1.5767
2001-04-04,1.5712,1.5776,1.5666
2001-04-05,1.5744,1.5793,1.5712
2001-04-06,1.5639,1.5749,1.5605
2001-04-09,1.5649,1.5658,1.5619
2001-04-10,1.5559,1.5642,1.5539
2001-04-11,1.5629,1.5634,1.5552
2001-04-12,1.5586,1.5635,1.556
2001-04-13,1.5625,1.5627,1.5614
2001-04-16,1.5606,1.5652,1.5601
2001-04-17,1.5599,1.5623,1.5546
2001-04-18,1.5637,1.5742,1.5612
2001-04-19,1.5505,1.5658,1.5465
2001-04-20,1.5453,1.5503,1.542
2001-04-23,1.5486,1.5502,1.5422
2001-04-24,1.5474,1.5527,1.5465
2001-04-25,1.5494,1.5521,1.5391
2001-04-26,1.5456,1.5493,1.5429
2001-04-27,1.5403,1.547,1.5391
2001-04-30,1.5359,1.5445,1.5345
2001-05-01,1.5348,1.5374,1.5322
2001-05-02,1.5332,1.5342,1.5285
2001-05-03,1.5338,1.5353,1.5299
2001-05-04,1.5348,1.5357,1.5266
2001-05-07,1.5411,1.5427,1.532
2001-05-08,1.5463,1.5475,1.5408
2001-05-09,1.5382,1.5455,1.5375
2001-05-10,1.543,1.5439,1.5366
2001-05-11,1.5503,1.5512,1.5382
2001-05-14,1.5511,1.5545,1.5481
2001-05-15,1.5464,1.5563,1.546
2001-05-16,1.5395,1.548,1.5388
2001-05-17,1.5346,1.5395,1.5336
2001-05-18,1.5336,1.5383,1.5322
2001-05-21,1.5372,1.5374,1.5313
2001-05-22,1.5401,1.5444,1.5355
2001-05-23,1.5525,1.554,1.5402
2001-05-24,1.5477,1.5528,1.5453
2001-05-25,1.5483,1.5497,1.5409
2001-05-28,1.544,1.5468,1.5418
2001-05-29,1.5376,1.549,1.5355
2001-05-30,1.5458,1.547,1.5335
2001-05-31,1.5366,1.5513,1.5364
2001-06-01,1.533,1.5388,1.5295
2001-06-04,1.536,1.537,1.5296
2001-06-05,1.5302,1.5384,1.5292
2001-06-06,1.526,1.532,1.5229
2001-06-07,1.5191,1.5251,1.5191
2001-06-08,1.5196,1.5228,1.5179
2001-06-11,1.5172,1.5205,1.5154
2001-06-12,1.526,1.5277,1.519
2001-06-13,1.5164,1.5252,1.5155
2001-06-14,1.5233,1.5242,1.5138
2001-06-15,1.5239,1.5293,1.519
2001-06-18,1.5345,1.5351,1.524
2001-06-19,1.5345,1.5355,1.5302
2001-06-20,1.5348,1.5378,1.5294
2001-06-21,1.5236,1.534,1.5232
2001-06-22,1.5256,1.5296,1.522
2001-06-25,1.5164,1.523,1.5159
