Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2002-04-04,0.8777,0.8857,0.8767
2002-04-05,0.8796,0.8815,0.8774
2002-04-08,0.8741,0.8795,0.8735
2002-04-09,0.8805,0.8811,0.8737
2002-04-10,0.8804,0.8827,0.8789
2002-04-11,0.883,0.8847,0.879
2002-04-12,0.8792,0.8828,0.8774
2002-04-15,0.8803,0.882,0.879
2002-04-16,0.8819,0.884,0.8791
2002-04-17,0.8894,0.8896,0.882
2002-04-18,0.8912,0.892,0.8857
2002-04-19,0.8917,0.8923,0.8879
2002-04-22,0.8897,0.8906,0.8868
2002-04-23,0.8886,0.8901,0.8861
2002-04-24,0.8922,0.893,0.8873
2002-04-25,0.898,0.8991,0.8918
2002-04-26,0.9015,0.9018,0.8963
2002-04-29,0.9034,0.9043,0.9008
2002-04-30,0.9008,0.9041,0.899
2002-05-01,0.9057,0.9083,0.8996
2002-05-02,0.9027,0.9078,0.9011
2002-05-03,0.9168,0.9174,0.9025
2002-05-06,0.9166,0.9183,0.9136
2002-05-07,0.9151,0.919,0.9115
2002-05-08,0.9053,0.9151,0.9037
2002-05-09,0.9089,0.9112,0.904
2002-05-10,0.9138,0.9148,0.9086
2002-05-13,0.9119,0.9165,0.9097
2002-05-14,0.9023,0.9124,0.9011
2002-05-15,0.9114,0.9118,0.8996
2002-05-16,0.9117,0.9141,0.9086
2002-05-17,0.9214,0.9219,0.911
2002-05-20,0.9223,0.9228,0.9178
2002-05-21,0.9201,0.922,0.9162
2002-05-22,0.9262,0.9277,0.9183
2002-05-23,0.9215,0.9267,0.918
2002-05-24,0.9211,0.9231,0.9168
2002-05-27,0.921,0.922,0.9185
2002-05-28,0.9291,0.9306,0.92
2002-05-29,0.9365,0.9369,0.9273
2002-05-30,0.9387,0.9412,0.9348
2002-05-31,0.9323,0.9403,0.9282
2002-06-03,0.9377,0.9396,0.9305
2002-06-04,0.9413,0.9453,0.9394
2002-06-05,0.9394,0.9415,0.9352
2002-06-06,0.9456,0.9471,0.934
2002-06-07,0.9441,0.9488,0.9428
2002-06-10,0.9435,0.9484,0.9395
2002-06-11,0.9473,0.9474,0.94
2002-06-12,0.9447,0.9505,0.9432
2002-06-13,0.942,0.9473,0.9395
2002-06-14,0.9455,0.9527,0.9417
2002-06-17,0.9442,0.9467,0.9411
2002-06-18,0.9515,0.952,0.9434
2002-06-19,0.9565,0.9579,0.9517
2002-06-20,0.9637,0.9663,0.956
2002-06-21,0.9701,0.9718,0.9632
2002-06-24,0.9706,0.9817,0.9681
2002-06-25,0.9773,0.9778,0.966
2002-06-26,0.986,0.9945,0.9792
2002-06-27,0.9882,0.9898,0.9805
2002-06-28,0.9919,0.999,0.984
2002-07-01,0.9875,0.9973,0.9865
2002-07-02,0.9834,0.9918,0.9798
2002-07-03,0.9811,0.9874,0.9765
2002-07-04,0.979,0.9806,0.975
2002-07-05,0.9734,0.98,0.9717
2002-07-08,0.9777,0.988,0.973
2002-07-09,0.9943,0.9953,0.987
2002-07-10,0.9884,0.9969,0.9859
2002-07-11,0.991,0.9939,0.9837
2002-07-12,0.9905,0.9925,0.9852
2002-07-15,1.0056,1.0089,0.9908
2002-07-16,1.0079,1.0147,1.0025
2002-07-17,1.0094,1.0162,1.0032
2002-07-18,1.0098,1.0099,1.0043
2002-07-19,1.0135,1.022,1.0105
2002-07-22,1.0078,1.0135,1.0054
2002-07-23,0.9861,1.0089,0.9845
2002-07-24,0.996,0.9979,0.9875
2002-07-25,1.0017,1.0036,0.9939
2002-07-26,0.9872,1.0065,0.986
2002-07-29,0.9806,0.9889,0.9766
2002-07-30,0.9841,0.9893,0.9766
2002-07-31,0.9769,0.9854,0.9755
2002-08-01,0.9835,0.9856,0.9726
2002-08-02,0.9866,0.9917,0.9837
2002-08-05,0.9808,0.9876,0.9806
2002-08-06,0.9649,0.9808,0.9624
2002-08-07,0.9743,0.9761,0.964
2002-08-08,0.9658,0.9772,0.9641
2002-08-09,0.9705,0.974,0.9656
2002-08-12,0.9789,0.98,0.9692
2002-08-13,0.9816,0.9827,0.9754
2002-08-14,0.9783,0.9893,0.9783
2002-08-15,0.982,0.9845,0.9747
2002-08-16,0.9837,0.9867,0.9785
2002-08-19,0.9768,0.987,0.975
2002-08-20,0.9789,0.9809,0.9728
2002-08-21,0.9796,0.9849,0.9752
2002-08-22,0.9702,0.9811,0.9676
2002-08-23,0.972,0.9731,0.9664
2002-08-26,0.9723,0.974,0.9685
2002-08-27,0.9832,0.9839,0.9703
2002-08-28,0.9801,0.9836,0.9793
2002-08-29,0.9839,0.9868,0.9776
2002-08-30,0.9808,0.9865,0.9796
2002-09-02,0.9845,0.9855,0.9798
2002-09-03,0.9864,0.9975,0.983
2002-09-04,0.9912,0.9975,0.9907
2002-09-05,0.993,0.999,0.9886
2002-09-06,0.9909,0.9954,0.981
2002-09-09,0.9787,0.9829,0.978
2002-09-10,0.9748,0.984,0.9723
2002-09-11,0.9758,0.9769,0.9703
2002-09-12,0.9817,0.9818,0.9741
2002-09-13,0.9726,0.984,0.9707
2002-09-16,0.971,0.9728,0.9662
2002-09-17,0.9711,0.9721,0.9608
