Date,GBP/JPY Close,GBP/JPY High,GBP/JPY Low
2015-04-15,176.906,176.939,175.712
2015-04-16,177.946,178.035,176.582
2015-04-17,177.936,178.74,177.463
2015-04-20,177.812,178.21,177.16
2015-04-21,178.641,178.9,177.45
2015-04-22,180.31,180.4,178.43
2015-04-23,179.915,180.455,179.33
2015-04-24,180.407,181.01,179.63
2015-04-27,181.29,181.59,180.21
2015-04-28,182.142,182.32,180.715
2015-04-29,183.629,184.122,182.133
2015-04-30,183.216,184.155,182.584
2015-05-01,182.05,184.47,181.8
2015-05-04,181.61,182.296,181.424
2015-05-05,181.81,182.786,181.467
2015-05-06,182.04,182.598,181.46
2015-05-07,182.903,183.05,180.969
2015-05-08,185.021,186.04,184.064
2015-05-11,187.28,187.395,184.59
2015-05-12,187.84,188.38,186.75
2015-05-13,187.442,188.61,187.037
2015-05-14,187.996,188.528,187.29
2015-05-15,187.76,188.623,187.6
2015-05-18,187.744,188.269,187.314
2015-05-19,187.14,187.972,185.978
2015-05-20,188.3,188.612,187.107
2015-05-21,189.479,190.02,187.969
2015-05-22,188.158,189.659,187.95
2015-05-25,187.9,188.605,187.79
2015-05-26,189.302,189.67,187.9
2015-05-27,189.88,190.349,189.255
2015-05-28,189.871,190.712,189.286
2015-05-29,189.66,190.006,188.705
2015-06-01,189.682,189.991,188.559
2015-06-02,190.328,190.61,189.14
2015-06-03,190.521,190.804,189.565
2015-06-04,190.99,191.694,189.848
2015-06-05,191.837,191.927,190.779
2015-06-08,190.84,191.862,190.698
2015-06-09,191.21,191.359,189.539
2015-06-10,190.605,191.615,188.99
2015-06-11,191.54,191.949,190.333
2015-06-12,191.9,192.24,191.257
2015-06-15,192.51,192.617,191.425
2015-06-16,193.073,193.15,192.078
2015-06-17,195.24,195.65,192.97
2015-06-18,195.22,195.83,194.362
2015-06-19,194.727,195.498,194.45
2015-06-22,195.14,195.57,194.633
2015-06-23,194.887,195.499,194.594
2015-06-24,194.4,195.88,194.27
2015-06-25,194.48,194.765,193.495
2015-06-26,194.912,195.256,193.93
2015-06-29,192.634,194.94,191.413
2015-06-30,192.289,193.018,191.733
2015-07-01,192.268,192.972,191.908
2015-07-02,191.98,192.938,191.938
2015-07-03,191.273,192.527,190.92
2015-07-06,191.06,191.657,189.28
2015-07-07,189.67,191.58,188.25
2015-07-08,185.112,189.484,185.005
2015-07-09,186.62,187.347,185.18
2015-07-10,190.55,190.69,186.768
2015-07-13,191.109,192.39,188.78
2015-07-14,192.77,192.99,190.586
2015-07-15,193.36,193.9,192.688
2015-07-16,193.67,194.05,193.053
2015-07-17,193.7,194.37,192.91
2015-07-20,193.42,193.94,193.062
2015-07-21,192.77,193.864,192.43
2015-07-22,193.46,193.98,192.322
2015-07-23,192.031,193.919,191.76
2015-07-24,191.91,192.469,191.668
2015-07-27,191.71,192.21,191.025
2015-07-28,192.8,193.232,191.472
2015-07-29,193.34,194.167,192.56
2015-07-30,193.72,194.586,193.337
2015-07-31,193.53,194,193.18
2015-08-03,193.19,194.244,193.061
2015-08-04,193.51,193.825,193.064
2015-08-05,194.775,195.224,193.216
2015-08-06,193.47,195.254,193.138
2015-08-07,192.35,193.771,191.99
2015-08-10,194.266,194.457,192.32
2015-08-11,194.736,194.916,194
2015-08-12,194.06,195.026,193.477
2015-08-13,194.212,194.735,193.686
2015-08-14,194.43,194.528,193.86
2015-08-17,193.91,195.167,193.793
2015-08-18,194.77,195.271,193.548
2015-08-19,194.17,195.033,194.02
2015-08-20,193.7,194.543,193.304
2015-08-21,191.71,193.765,191.33
2015-08-24,187.391,191.54,183.265
2015-08-25,187.133,189.993,186.346
2015-08-26,185.33,188.089,184.181
2015-08-27,186.344,186.83,185.464
2015-08-28,186.925,187.025,185.39
2015-08-31,186,187.6,185.63
2015-09-01,183.3,186.23,183.11
2015-09-02,183.995,184.28,182.706
2015-09-03,182.989,184.714,182.701
2015-09-04,180.751,183.337,180.36
2015-09-07,182.42,182.52,180.447
2015-09-08,184.6,184.969,181.833
2015-09-09,185.305,186.426,184.54
2015-09-10,186.235,187.332,184.247
2015-09-11,185.968,186.871,185.711
2015-09-14,185.31,186.638,184.625
2015-09-15,184.783,186.096,184.23
2015-09-16,186.8,187.196,184.258
2015-09-17,187.23,188.308,186.718
2015-09-18,186.244,187.365,185.953
2015-09-21,186.831,187.325,185.96
2015-09-22,184.55,187,184.117
2015-09-23,183.291,184.658,182.936
2015-09-24,182.79,183.55,181.63
2015-09-25,183.19,184.428,182.678
2015-09-28,181.766,183.304,181.656
2015-09-29,181.269,182.522,180.972
2015-09-30,181.41,183.045,180.867
2015-10-01,181.399,182.027,181.07
2015-10-02,182.224,182.591,180.675
2015-10-05,182.53,183.2,181.914
2015-10-06,183.202,183.269,181.985
2015-10-07,183.72,184.05,182.54
2015-10-08,184.08,184.3,183.02
2015-10-09,184.14,184.85,183.96
2015-10-12,184.07,184.7,183.95
2015-10-13,182.62,184.35,181.852
2015-10-14,184.025,184.333,182.349
2015-10-15,184.072,184.361,182.775
2015-10-16,184.53,184.724,183.649
2015-10-19,184.77,185.099,183.856
2015-10-20,185.154,185.589,184.729
2015-10-21,185.005,185.568,184.742
2015-10-22,185.75,185.824,184.515
2015-10-23,185.953,186.297,185.2
2015-10-26,185.788,186.083,185.208
2015-10-27,184.173,185.875,183.93
2015-10-28,184.941,185.035,183.913
2015-10-29,185.494,185.55,184.103
2015-10-30,186.04,186.722,184.383
2015-11-02,186.176,186.967,185.57
2015-11-03,186.592,186.888,185.892
2015-11-04,186.99,187.316,186.48
2015-11-05,185.17,187.715,184.981
2015-11-06,185.4,185.82,184.32
2015-11-09,186.11,186.61,185.39
2015-11-10,186.24,186.513,185.908
2015-11-11,186.92,187.048,185.97
2015-11-12,186.688,187.507,186.561
2015-11-13,186.8,187.033,186.427
2015-11-16,187.345,187.46,186.015
2015-11-17,187.66,187.987,186.874
2015-11-18,188.215,188.245,187.28
2015-11-19,187.835,188.806,187.669
2015-11-20,186.64,188.09,186.512
