Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2005-11-14,2.2897,2.291,2.2799
2005-11-15,2.2841,2.2941,2.2826
2005-11-16,2.275,2.2879,2.2703
2005-11-17,2.266,2.2804,2.2643
2005-11-18,2.2588,2.2714,2.2582
2005-11-21,2.267,2.2683,2.2519
2005-11-22,2.2566,2.2663,2.2561
2005-11-23,2.2625,2.2652,2.2556
2005-11-24,2.2668,2.2711,2.2592
2005-11-25,2.262,2.2698,2.26
2005-11-28,2.2578,2.2663,2.2528
2005-11-29,2.2576,2.2654,2.2543
2005-11-30,2.2731,2.2756,2.2563
2005-12-01,2.281,2.2899,2.2707
2005-12-02,2.2845,2.2871,2.2767
2005-12-05,2.278,2.2857,2.2734
2005-12-06,2.2737,2.2817,2.2651
2005-12-07,2.279,2.28,2.271
2005-12-08,2.2804,2.2827,2.2733
2005-12-09,2.2844,2.2881,2.278
2005-12-12,2.2929,2.2929,2.2829
2005-12-13,2.2869,2.2941,2.286
2005-12-14,2.273,2.2889,2.2669
2005-12-15,2.2751,2.279,2.2686
2005-12-16,2.287,2.2889,2.273
2005-12-19,2.2777,2.2871,2.2766
2005-12-20,2.2961,2.3018,2.2765
2005-12-21,2.2905,2.3,2.2865
2005-12-22,2.279,2.2926,2.2771
2005-12-23,2.276,2.2822,2.2704
2005-12-26,2.2754,2.2825,2.2723
2005-12-27,2.2751,2.2814,2.2688
2005-12-28,2.2588,2.2761,2.257
2005-12-29,2.2656,2.2715,2.2595
2005-12-30,2.2595,2.2703,2.259
2006-01-02,2.2595,2.2703,2.2703
2006-01-03,2.251,2.2738,2.249
2006-01-04,2.2425,2.2596,2.2412
2006-01-05,2.2398,2.2482,2.2403
2006-01-06,2.2475,2.2497,2.2366
2006-01-09,2.2517,2.258,2.2462
2006-01-10,2.2593,2.2635,2.251
2006-01-11,2.249,2.2602,2.2438
2006-01-12,2.2615,2.268,2.2482
2006-01-13,2.2674,2.2752,2.2612
2006-01-16,2.261,2.2678,2.2579
2006-01-17,2.2623,2.2655,2.2529
2006-01-18,2.256,2.2637,2.2507
2006-01-19,2.2604,2.2625,2.2532
2006-01-20,2.2622,2.2679,2.2553
2006-01-23,2.261,2.2678,2.2579
2006-01-24,2.2502,2.2548,2.2458
2006-01-25,2.2556,2.2574,2.2495
2006-01-26,2.2599,2.2651,2.2548
2006-01-27,2.2681,2.273,2.2576
2006-01-30,2.2745,2.2779,2.2648
2006-01-31,2.2754,2.2797,2.2719
2006-02-01,2.286,2.2901,2.2736
2006-02-02,2.2872,2.2932,2.2851
2006-02-03,2.2809,2.293,2.2795
2006-02-06,2.2747,2.2821,2.2715
2006-02-07,2.2655,2.2759,2.2635
2006-02-08,2.2637,2.2685,2.2575
2006-02-09,2.2625,2.2659,2.2577
2006-02-10,2.2795,2.2808,2.2623
2006-02-13,2.276,2.283,2.2731
2006-02-14,2.2702,2.2788,2.2677
2006-02-15,2.281,2.2835,2.2675
2006-02-16,2.2796,2.2817,2.2706
2006-02-17,2.282,2.2857,2.2763
2006-02-20,2.28,2.2823,2.277
2006-02-21,2.2845,2.2889,2.2798
2006-02-22,2.2858,2.2884,2.2796
2006-02-23,2.2926,2.2936,2.2843
2006-02-24,2.297,2.2986,2.2906
2006-02-27,2.3009,2.3019,2.2925
2006-02-28,2.3012,2.3056,2.2961
2006-03-01,2.298,2.3014,2.2922
2006-03-02,2.2763,2.2983,2.2745
2006-03-03,2.2768,2.2837,2.2755
2006-03-06,2.27,2.2784,2.2694
2006-03-07,2.2795,2.2815,2.2709
2006-03-08,2.272,2.2824,2.2703
2006-03-09,2.2808,2.2834,2.2702
2006-03-10,2.2735,2.2858,2.2713
2006-03-13,2.2739,2.2759,2.2686
2006-03-14,2.2734,2.2781,2.27
2006-03-15,2.264,2.2775,2.2618
2006-03-16,2.267,2.2709,2.2621
2006-03-17,2.2652,2.2701,2.2618
2006-03-20,2.267,2.2702,2.2636
2006-03-21,2.2732,2.2767,2.2624
2006-03-22,2.2797,2.2805,2.2721
2006-03-23,2.282,2.2866,2.2745
2006-03-24,2.2826,2.2905,2.2806
2006-03-27,2.2875,2.2879,2.2807
2006-03-28,2.2839,2.2894,2.2744
2006-03-29,2.2717,2.2829,2.2688
2006-03-30,2.265,2.273,2.2643
2006-03-31,2.2642,2.2718,2.2637
2006-04-03,2.268,2.2725,2.2612
2006-04-04,2.2623,2.272,2.2617
2006-04-05,2.25,2.2665,2.2459
2006-04-06,2.2604,2.2648,2.2491
2006-04-07,2.2667,2.2702,2.2582
2006-04-10,2.2708,2.2726,2.2647
2006-04-11,2.2688,2.2736,2.2634
2006-04-12,2.2732,2.2786,2.2674
2006-04-13,2.2736,2.2767,2.2718
2006-04-14,2.2748,2.2757,2.2728
2006-04-17,2.2635,2.2763,2.2614
2006-04-18,2.2648,2.2701,2.2585
2006-04-19,2.2697,2.2751,2.2597
2006-04-20,2.2731,2.2762,2.2668
2006-04-21,2.2736,2.2783,2.271
2006-04-24,2.2662,2.2763,2.2645
2006-04-25,2.2667,2.2707,2.2637
2006-04-26,2.2659,2.2703,2.264
2006-04-27,2.2709,2.2743,2.2649
2006-04-28,2.2728,2.273,2.2562
2006-05-01,2.266,2.267,2.2569
2006-05-02,2.276,2.277,2.2634
2006-05-03,2.2754,2.2798,2.2703
2006-05-04,2.2729,2.2843,2.271
2006-05-05,2.278,2.2795,2.2689
2006-05-08,2.2812,2.2839,2.2749
2006-05-09,2.2779,2.2855,2.2758
2006-05-10,2.2683,2.2792,2.267
2006-05-11,2.2835,2.293,2.2689
2006-05-12,2.2695,2.2853,2.2694
2006-05-15,2.2739,2.2788,2.2674
2006-05-16,2.2797,2.2826,2.2751
2006-05-17,2.2857,2.292,2.2766
2006-05-18,2.2824,2.2912,2.2809
2006-05-19,2.2829,2.292,2.2806
2006-05-22,2.2721,2.286,2.2693
2006-05-23,2.2738,2.2783,2.268
2006-05-24,2.2751,2.2774,2.268
2006-05-25,2.2793,2.2818,2.2716
2006-05-26,2.2772,2.2831,2.2739
2006-05-29,2.2764,2.2806,2.274
2006-05-30,2.2815,2.2817,2.2726
2006-05-31,2.2791,2.2829,2.2724
2006-06-01,2.2783,2.2853,2.2764
2006-06-02,2.2741,2.2792,2.2665
2006-06-05,2.2619,2.2741,2.2586
2006-06-06,2.2611,2.2675,2.2589
2006-06-07,2.2666,2.2718,2.2603
2006-06-08,2.2707,2.2742,2.2592
2006-06-09,2.2668,2.2737,2.2637
2006-06-12,2.2729,2.2772,2.2659
2006-06-13,2.2718,2.2757,2.2691
